,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
39,애들이 좋아해요 .아침 대용으로 챙겨 줘요,5,2024.03.07.,수량: 1Box(12개입) / 맛선택: 기본맛,구매자거주인원 4인취학자녀 가정,꽤 남았어요,적당해요,맛있어요
40,매번 시켜먹는 모부당! 맛은 말해뭐해여 공구를 놓텨서 어쩔 수 없이 좀더 비싼 가격으로 시켰네여…,5,2024.03.07.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
41,아이 둘이 맛있게 잘먹었어요~^-^b,5,2024.03.07.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
42,맛있어요. 배고플때 하나씩 먹기가 좋습니다.,5,2024.03.06.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
43,"너무 맜있어요^^ 아침대용 ,간식으로 먹고 있어요~ 저번에 구입하고 괜찮안서 한번 더 구입했습니다",5,2024.03.06.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
44,확실히 치즈맛이 기본맛보다 맛있어요!! 치즈 죽죽 늘어나도록 먹어야 맛있습니다 애매하게 해동하면 치즈가 별로더라구요,5,2024.03.06.,수량: 1Box(12개입) / 맛선택: 기본맛,,평범해요,꽤 남았어요,적당해요
45,맛있어요 확실히 치즈맛이 기본보다 더 맛있네요!!!,5,2024.03.06.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
46,"아이들이좋아해서 치즈 떡볶이 2상자 더 추가주문했어요.
아침대용으로도 좋네요~",5,2024.03.05.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
47,요즘 인터넷에서 자주 보이길래 무슨 맛인지 궁금해서 구매햤습니다아 진짜 대중적인 떡볶이 그 자체입나당,5,2024.03.05.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 3인취학자녀 가정,평범해요,아주 넉넉해요,꼼꼼해요
48,그냥 큰 치즈떡인느낌 부드러운 떡 좋아하시는분은 괜찮을듯해요,4,2024.03.05.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,꼼꼼해요
49,"신기하게도 정말 떡볶이 맛이 났어요.
치즈가 들어있어서 더욱더 맛이 좋았어요.
가격이 좀 비싼데 재구매 할 의향있습니다.",4,2024.03.04.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
50,아주아주 맛있습니다,5,2024.03.03.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
51,떡볶이 가래치츠떡ㅋㅋㅋ아들이 좋아라합니다ㅋㅋㅋ,5,2024.03.02.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
52,애가 먹고잇어서 확실히잘모르지만좋은듯,5,2024.03.01.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
53,맛있었어요 간단하게 먹을수 있어서 좋았습니다,5,2024.03.01.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 5인대가족,꽤 남았어요,적당해요,맛있어요
54,"매콤한편이고 맛있어요
깔끔한 떡볶이맛을 원하신다면 강추해요",5,2024.03.01.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
55,떡 원래 안좋아하는데 이건 맛있어요!,5,2024.03.01.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
56,짠득짠득하네요ㅎㅎ크크,5,2024.02.29.,수량: 2Box(24개입) / 맛선택: 치즈맛,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
57,아이가 노래를 불러서 사줬는데 좋아하네요^^,5,2024.02.29.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 1인싱글,아주 넉넉해요,꼼꼼해요,맛있어요
58,아싯어요 굳굳 ㅎㅎ,5,2024.02.29.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
59,맛있어요 굳굳 ㅎㅎ,5,2024.02.29.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
60,아이가 유튜브보고 사달래서 샀는데 떡볶이 맛은 잘 안느껴지네요 그냥 약간 매운느낌정도에요 치즈맛은 좋네요 맛에 비해 가격이 넘 비싸네요,3,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,아주 넉넉해요,적당해요
61,워낙유명해서 아이가 먹어보고싶어해서 주문했어요,4,2024.02.28.,수량: 1Box(12개입) / 맛선택: 기본맛,구매자거주인원 4인취학자녀 가정,평범해요,아주 넉넉해요,꼼꼼해요
