,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
52,너무제품좋네요^^ㅋ,5,2023.07.07.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
53,너무 맛있어요 많이 파세요,5,2023.07.06.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
54,좋아요좋아요좋아요~,5,2023.07.05.,구매품: 코카-파워에이드240㎖(30캔),,평범해요,꽤 남았어요,적당해요
55,항상 주문해서 마셔요 마니파세요,5,2023.07.04.,구매품: 코카-파워에이드240㎖(30캔),,평범해요,꽤 남았어요,적당해요
56,매번주문합니다~~!!,5,2023.07.04.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
57,배송빠르고 제품 좋습니다.,5,2023.07.03.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
58,빠른배송감사합니다.,5,2023.07.03.,구매품: 코카-토레타340㎖(뚱24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
59,"맛잇어요 시원하게 잘 마실게요~~
올 여름은 파워에이드와 함께~~~",5,2023.07.03.,구매품: 코카-파워에이드340㎖(24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
60,배송도 빠르고 저렴하게 구입했습니다.,5,2023.07.03.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
61,조만간 재구매 해야 할거 같아요 ^^,5,2023.07.03.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
62,배송 빠루고 좋아요,5,2023.07.02.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
63,배송 빠르고 좋아요,5,2023.07.02.,구매품: 동아-포카리스웨트340㎖(뚱24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
64,빠른 배송 감사합니다. 포장상태도 아주 좋아요. 또 구매 하겠습니다.,5,2023.07.02.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
65,빠른배송 만족합니다,5,2023.06.30.,구매품: 코카-파워에이드240㎖(30캔),,꽤 남았어요,꼼꼼해요,맛있어요
66,좋아요 휴아휴아하 하하하,5,2023.06.29.,구매품: 동아-포카리스웨트340㎖(뚱24캔),,평범해요,꽤 남았어요,적당해요
67,유통기한 넉넉합니다,5,2023.06.28.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
68,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,5,2023.06.27.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
69,맛있어요 좋아요 굿,5,2023.06.27.,구매품: 코카-파워에이드340㎖(24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
70,가격도 좋구 배송도 괜찮아여 늘 번창하시길 기도할게욤   화이팅,5,2023.06.27.,구매품: 코카-파워에이드240㎖(30캔),,꽤 남았어요,꼼꼼해요,맛있어요
