,names,contents,detailed_describes,forms,prices,provides,first_upload_dates,final_updated_dates,categories,sizes,views,downloads,recommends
10,응급의료기관 현황,응급의료기관 현황,TB_NC_ER_EMORG,csv/zip,무료,국립중앙의료원,2022-12-12,2023-01-05,의료,51.00 KB,151,36,2
11,공동주택 지역 평균 가스 사용량,서울시 서대문구 공동주택 평균 가스 사용량(월별),서울시 서대문구 공동주택 지역 평균 가스 사용량,csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,195.00 KB,131,46,1
12,지역별감염병환자정보,지역별 감염병 환자 정보,"1. 실손보험청구 데이터를 활용하여 지역별 감염병 환자 정보의 수를 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,123,40,1
13,실거주지(행정동)인구이동데이터,행정동별 일별 인구 이동,"1. 시군구 실거주인구가 전국 행정동으로 이동한 인구의 규모
2. 일별, 행정동별, 성별, 연령별, 방문자수",csv/zip,"2,000,000",매지스,2022-12-13,2022-12-13,유동인구,611.69 GB,110,0,0
14,공동주택 단지 전기 사용량,공동주택 단지 정보,"공동주택 (아파트, 오피스텔, 기숙사) 단지 전기 사용량",csv/zip,무료,옴니시스템,2022-12-08,2022-12-08,자원사용,9.31 GB,107,40,2
15,국민계정(국민소득-총자본형성),국민계정(국민소득-총자본형성),TB_BK_NA_INCOME4_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,99,27,1
16,국민계정(국민소득-종합계정 및 제도부문별 계정),국민계정(국민소득-종합계정및제도부문별계정),TB_BK_NA_INCOME3_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,95,28,1
17,실시간 유동인구 데이터,실시간 유동인구 데이터,현재 실시간 유동인구 규모,csv/zip,"2,000,000",매지스,2022-12-19,2022-12-19,유동인구,779.97 MB,92,1,0
18,성별별감염병환자정보,성별별 감염병 환자 정보,"1. 실손보험청구 데이터를 활용하여 성별별 감염병 환자 정보의 수를 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,92,35,1
19,국민계정(공공부분계정),국민계정(공공부분계정),TB_BK_NA_PUBLIC_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,91,26,1
20,폐질환·폐암(편평상피세포암) 환자 의료 및 단백체 데이터,폐질환·폐암(편평상피세포암) 환자 의료 및 단백체 데이터,비소세포폐암(편평상피세포암) 환자의 의료정보 및 조직 시료 단백체 질량분석 결과 데이터,csv/zip,무료,셀키,2022-12-16,2022-12-16,감염병연구,14.90 GB,90,18,1
21,연령별 감염병 환자 정보,연령별 감염병 환자 정보,"1. 실손보험청구 데이터를 활용하여 연령별 감염병 환자 정보의 수를 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,90,36,1
22,COVID-19 PCR 검사 결과,타액 진단키트 기반의 COVID-19 PCR 검사 결과,타액 진단 키트 기반 COVID-19 PCR 검사 결과,csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,953.67 MB,89,33,1
23,물가(수출입물가지수),물가(수출입물가지수),TB_BK_PR_EXINDEX_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,88,25,1
24,재원기간중 처방 항생제 종류,임상데이터_항생제 처방 리스트,"항생제 처방에 관련된 정보(항생제 종류, 처방량, ATC, DDD 값 포함)",csv/zip,"5,000,000",용인시산업진흥원,2022-12-26,2023-02-16,의료,1.00 KB,85,9,2
25,공동주택 단지 물 사용량,서울시 서대문구 공동주택 단지 물 사용량(시간별),공동주택 단지 단위 물 사용량 (시간별),csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,390.00 KB,83,27,1
26,국민계정(총저축과총투자),국민계정(총저축과총투자),TB_BK_NA_INVEST_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,83,23,1
27,폐질환·폐암(선암) 환자 의료 및 단백체 데이터,폐질환·폐암(선암) 환자 의료 및 단백체 데이터,비소세포폐암(선암) 환자의 의료정보 및 조직 시료 단백체 질량분석 결과 데이터,csv/zip,무료,셀키,2022-12-16,2022-12-16,감염병연구,27.94 GB,83,19,1
28,공동주택 지역 평균 물 사용량,서울시 서대문구 평균 물 사용량(월별),서울시 서대문구 공동주택 대상 평균 물 사용량,csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,48.00 KB,82,29,1
29,국민계정(자금순환표),국민계정(자금순환표),TB_BK_NA_FUND_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,82,25,2
30,행정동별 유동인구 OD 데이터,행정동별 일별 유동인구,"1. 한 행정동에 30분이상 체류한 인구를 기준으로 한 행정동간의 인구 이동 규모
2. 일별, 도착지행정동(D), 출발지행정동(O), 성별, 연령별, 방문자수",csv/zip,"2,000,000",매지스,2022-12-13,2023-02-20,유동인구,70.44 GB,82,0,0
31,뇌졸중 환자 내원 현황,뇌졸중 환자 내원 현황,TB_NC_ER_VST_STROKE,csv/zip,무료,국립중앙의료원,2022-12-12,2023-01-05,의료,51.00 KB,82,17,2
32,공동주택 단지 정보,공동주택 단지 정보,공동주택 단지 정보,csv/zip,무료,옴니시스템,2022-12-08,2022-12-19,자원사용,48.00 KB,82,28,1
33,공동주택 지역 평균 전기 사용량,서울시 서대문구 평균 전기사용량(월별),공동주택 대상 서대문구 지역 평균 전기 사용량,csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,48.00 KB,82,36,1
34,공동주택 단지 가스 사용량,공동주택 단지 가스 사용량(시간별),공동주택 단지별 가스 사용량,csv/zip,무료,옴니시스템,2022-12-08,2022-12-13,자원사용,390.00 KB,81,30,2
35,행정동별 사회적약자 유동인구 OD 데이터,행정동별 사회적약자 유동인구 OD,1. 한 행정동에 30분이상 체류한 인구를 기준으로 한 행정동간의 사회적약자 인구 이동 규모,csv/zip,"2,000,000",매지스,2022-12-14,2022-12-14,유동인구,4.97 GB,80,0,0
36,중증응급환자 전원 현황,중증응급환자 전원 현황,TB_NC_ER_VST_SEVERE,csv/zip,무료,국립중앙의료원,2022-12-12,2023-01-05,의료,51.00 KB,79,22,2
37,성별별 감염병 환자 발생 비율,성별별 감염병 환자 발생 비율,"1. 실손보험청구 데이터를 활용하여 성별별 감염병 환자 발생 비율을 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,79,35,1
38,지역별감염병환자발생비율,지역별감염병환자발생비율,"1. 실손보험청구 데이터를 활용하여 지역별 감염병 환자 발생 비율을 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,78,35,1
